"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
15 Apr 2018 15:56:42.000,135609829.116623,59033874.442162,25590293.546063,-12.290150,24.805894,10.753078
15 Apr 2018 16:26:42.000,135587698.174186,59078521.278032,25609647.456036,-12.299786,24.801701,10.751266
15 Apr 2018 16:56:42.000,135565549.888811,59123160.563702,25628998.102898,-12.309420,24.797505,10.749453
15 Apr 2018 17:26:42.000,135543384.263758,59167792.293141,25648345.484054,-12.319052,24.793305,10.747638
15 Apr 2018 17:56:42.000,135521201.302297,59212416.460309,25667689.596912,-12.328683,24.789102,10.745821
15 Apr 2018 18:26:42.000,135499001.007703,59257033.059169,25687030.438876,-12.338311,24.784896,10.744004
15 Apr 2018 18:56:42.000,135476783.383251,59301642.083690,25706368.007356,-12.347938,24.780686,10.742184
15 Apr 2018 19:26:42.000,135454548.432222,59346243.527847,25725702.299758,-12.357563,24.776473,10.740363
15 Apr 2018 19:56:42.000,135432296.157909,59390837.385597,25745033.313489,-12.367186,24.772257,10.738541
15 Apr 2018 20:26:42.000,135410026.563603,59435423.650917,25764361.045960,-12.376807,24.768037,10.736718
15 Apr 2018 20:56:42.000,135387739.652598,59480002.317785,25783685.494578,-12.386427,24.763814,10.734893
15 Apr 2018 21:26:42.000,135365435.428200,59524573.380170,25803006.656754,-12.396044,24.759588,10.733066
15 Apr 2018 21:56:42.000,135343113.893717,59569136.832046,25822324.529896,-12.405660,24.755358,10.731238
15 Apr 2018 22:26:42.000,135320775.052459,59613692.667398,25841639.111417,-12.415274,24.751125,10.729409
15 Apr 2018 22:56:42.000,135298418.907746,59658240.880199,25860950.398726,-12.424886,24.746888,10.727578
15 Apr 2018 23:26:42.000,135276045.462897,59702781.464435,25880258.389235,-12.434497,24.742649,10.725746
15 Apr 2018 23:56:42.000,135253654.721243,59747314.414086,25899563.080357,-12.444105,24.738406,10.723912
16 Apr 2018 00:26:42.000,135231246.685783,59791839.723889,25918864.469495,-12.453712,24.734159,10.722077
16 Apr 2018 00:56:42.000,135208821.360519,59836357.386326,25938162.554067,-12.463316,24.729909,10.720240
16 Apr 2018 01:26:42.000,135186378.748461,59880867.396137,25957457.331489,-12.472919,24.725656,10.718402
16 Apr 2018 01:56:42.000,135163918.852957,59925369.747308,25976748.799174,-12.482520,24.721400,10.716563
16 Apr 2018 02:26:42.000,135141441.677358,59969864.433837,25996036.954534,-12.492119,24.717140,10.714722
16 Apr 2018 02:56:42.000,135118947.225021,60014351.449714,26015321.794985,-12.501716,24.712877,10.712880
16 Apr 2018 03:26:42.000,135096435.499310,60058830.788932,26034603.317942,-12.511312,24.708610,10.711036
16 Apr 2018 03:56:42.000,135073906.503590,60103302.445491,26053881.520819,-12.520905,24.704340,10.709191
16 Apr 2018 04:26:42.000,135051360.241232,60147766.413396,26073156.401034,-12.530497,24.700067,10.707344
16 Apr 2018 04:56:42.000,135028796.715617,60192222.686636,26092427.956003,-12.540087,24.695791,10.705496
16 Apr 2018 05:26:42.000,135006215.930125,60236671.259219,26111696.183142,-12.549675,24.691511,10.703647
16 Apr 2018 05:56:42.000,134983617.888141,60281112.125153,26130961.079871,-12.559261,24.687228,10.701796
16 Apr 2018 06:26:42.000,134961002.593058,60325545.278442,26150222.643607,-12.568845,24.682941,10.699943
16 Apr 2018 06:56:42.000,134938370.048274,60369970.713091,26169480.871769,-12.578427,24.678652,10.698089
16 Apr 2018 07:26:42.000,134915720.257189,60414388.423116,26188735.761779,-12.588007,24.674358,10.696234
16 Apr 2018 07:56:42.000,134893053.223212,60458798.402524,26207987.311055,-12.597586,24.670062,10.694378
16 Apr 2018 08:26:42.000,134870368.949751,60503200.645336,26227235.517019,-12.607162,24.665762,10.692519
16 Apr 2018 08:56:42.000,134847667.440225,60547595.145564,26246480.377092,-12.616737,24.661459,10.690660
16 Apr 2018 09:26:42.000,134824948.698056,60591981.897225,26265721.888698,-12.626310,24.657153,10.688799
16 Apr 2018 09:56:42.000,134802212.726668,60636360.894345,26284960.049258,-12.635881,24.652843,10.686937
16 Apr 2018 10:26:42.000,134779459.529494,60680732.130943,26304194.856197,-12.645449,24.648530,10.685073
16 Apr 2018 10:56:42.000,134756689.109972,60725095.601041,26323426.306939,-12.655016,24.644213,10.683208
16 Apr 2018 11:26:42.000,134733901.471540,60769451.298672,26342654.398908,-12.664582,24.639894,10.681341
16 Apr 2018 11:56:42.000,134711096.617645,60813799.217861,26361879.129531,-12.674145,24.635571,10.679473
16 Apr 2018 12:26:42.000,134688274.551740,60858139.352637,26381100.496234,-12.683706,24.631244,10.677603
16 Apr 2018 12:56:42.000,134665435.277280,60902471.697037,26400318.496443,-12.693265,24.626915,10.675732
16 Apr 2018 13:26:42.000,134642578.797723,60946796.245100,26419533.127587,-12.702823,24.622582,10.673860
16 Apr 2018 13:56:42.000,134619705.116540,60991112.990854,26438744.387094,-12.712378,24.618245,10.671986
16 Apr 2018 14:26:42.000,134596814.237199,61035421.928344,26457952.272393,-12.721932,24.613906,10.670111
16 Apr 2018 14:56:42.000,134573906.163175,61079723.051614,26477156.780913,-12.731483,24.609563,10.668234
16 Apr 2018 15:26:42.000,134550980.897949,61124016.354707,26496357.910086,-12.741033,24.605217,10.666356
16 Apr 2018 15:56:42.000,134528038.445009,61168301.831665,26515555.657343,-12.750581,24.600867,10.664476
16 Apr 2018 16:26:42.000,134505078.807841,61212579.476544,26534750.020115,-12.760127,24.596514,10.662595
16 Apr 2018 16:56:42.000,134482101.989945,61256849.283390,26553940.995835,-12.769671,24.592158,10.660713
16 Apr 2018 17:26:42.000,134459107.994818,61301111.246260,26573128.581938,-12.779213,24.587799,10.658829
16 Apr 2018 17:56:42.000,134436096.825965,61345365.359209,26592312.775856,-12.788753,24.583436,10.656944
16 Apr 2018 18:26:42.000,134413068.486899,61389611.616292,26611493.575026,-12.798291,24.579070,10.655057
16 Apr 2018 18:56:42.000,134390022.981131,61433850.011575,26630670.976883,-12.807827,24.574701,10.653169
16 Apr 2018 19:26:42.000,134366960.312183,61478080.539119,26649844.978862,-12.817361,24.570328,10.651280
16 Apr 2018 19:56:42.000,134343880.483581,61522303.192985,26669015.578403,-12.826893,24.565952,10.649389
16 Apr 2018 20:26:42.000,134320783.498850,61566517.967249,26688182.772943,-12.836423,24.561573,10.647496
16 Apr 2018 20:56:42.000,134297669.361528,61610724.855977,26707346.559920,-12.845951,24.557191,10.645603
16 Apr 2018 21:26:42.000,134274538.075153,61654923.853239,26726506.936774,-12.855478,24.552805,10.643708
16 Apr 2018 21:56:42.000,134251389.643270,61699114.953114,26745663.900947,-12.865002,24.548416,10.641811
16 Apr 2018 22:26:42.000,134228224.069424,61743298.149686,26764817.449879,-12.874524,24.544023,10.639913
16 Apr 2018 22:56:42.000,134205041.357175,61787473.437023,26783967.581012,-12.884045,24.539628,10.638013
16 Apr 2018 23:26:42.000,134181841.510077,61831640.809214,26803114.291789,-12.893563,24.535229,10.636112
16 Apr 2018 23:56:42.000,134158624.531694,61875800.260347,26822257.579655,-12.903079,24.530827,10.634210
17 Apr 2018 00:26:42.000,134135390.425250,61919951.785256,26841397.442051,-12.912594,24.526421,10.632306
17 Apr 2018 00:56:42.000,134112139.195007,61964095.376536,26860533.876425,-12.922106,24.522012,10.630401
17 Apr 2018 01:26:42.000,134088870.844197,62008231.029032,26879666.880224,-12.931617,24.517600,10.628495
17 Apr 2018 01:56:42.000,134065585.376405,62052358.736834,26898796.450894,-12.941125,24.513185,10.626587
17 Apr 2018 02:26:42.000,134042282.795216,62096478.494045,26917922.585885,-12.950632,24.508766,10.624677
17 Apr 2018 02:56:42.000,134018963.104223,62140590.294766,26937045.282644,-12.960136,24.504344,10.622766
17 Apr 2018 03:26:42.000,133995626.307025,62184694.133096,26956164.538622,-12.969638,24.499919,10.620854
17 Apr 2018 03:56:42.000,133972272.407220,62228790.003150,26975280.351269,-12.979139,24.495491,10.618941
17 Apr 2018 04:26:42.000,133948901.408417,62272877.899033,26994392.718038,-12.988637,24.491059,10.617026
17 Apr 2018 04:56:42.000,133925513.314227,62316957.814856,27013501.636380,-12.998134,24.486624,10.615109
17 Apr 2018 05:26:42.000,133902108.128265,62361029.744738,27032607.103749,-13.007628,24.482186,10.613191
17 Apr 2018 05:56:42.000,133878685.854151,62405093.682796,27051709.117600,-13.017121,24.477744,10.611272
17 Apr 2018 06:26:42.000,133855246.495513,62449149.623147,27070807.675387,-13.026611,24.473299,10.609351
17 Apr 2018 06:56:42.000,133831790.055980,62493197.559918,27089902.774568,-13.036099,24.468851,10.607429
17 Apr 2018 07:26:42.000,133808316.539183,62537237.487242,27108994.412598,-13.045586,24.464400,10.605505
17 Apr 2018 07:56:42.000,133784825.948767,62581269.399235,27128082.586937,-13.055070,24.459945,10.603580
17 Apr 2018 08:26:42.000,133761318.288374,62625293.290037,27147167.295043,-13.064552,24.455487,10.601654
17 Apr 2018 08:56:42.000,133737793.561652,62669309.153785,27166248.534377,-13.074033,24.451026,10.599726
17 Apr 2018 09:26:42.000,133714251.772255,62713316.984614,27185326.302399,-13.083511,24.446562,10.597797
17 Apr 2018 09:56:42.000,133690692.923843,62757316.776663,27204400.596571,-13.092987,24.442094,10.595866
17 Apr 2018 10:26:42.000,133667117.020075,62801308.524082,27223471.414357,-13.102461,24.437623,10.593934
17 Apr 2018 10:56:42.000,133643524.064623,62845292.221012,27242538.753220,-13.111933,24.433149,10.592001
17 Apr 2018 11:26:42.000,133619914.061156,62889267.861608,27261602.610625,-13.121404,24.428672,10.590066
17 Apr 2018 11:56:42.000,133596287.013351,62933235.440021,27280662.984038,-13.130872,24.424191,10.588130
17 Apr 2018 12:26:42.000,133572642.924892,62977194.950405,27299719.870927,-13.140338,24.419707,10.586192
17 Apr 2018 12:56:42.000,133548981.799461,63021146.386923,27318773.268758,-13.149802,24.415220,10.584253
17 Apr 2018 13:26:42.000,133525303.640750,63065089.743736,27337823.175002,-13.159264,24.410730,10.582313
17 Apr 2018 13:56:42.000,133501608.452457,63109025.015005,27356869.587128,-13.168723,24.406236,10.580371
17 Apr 2018 14:26:42.000,133477896.238278,63152952.194906,27375912.502606,-13.178181,24.401740,10.578428
17 Apr 2018 14:56:42.000,133454167.001918,63196871.277606,27394951.918911,-13.187637,24.397240,10.576483
17 Apr 2018 15:26:42.000,133430420.747088,63240782.257277,27413987.833513,-13.197091,24.392736,10.574537
17 Apr 2018 15:56:42.000,133406657.477500,63284685.128101,27433020.243888,-13.206542,24.388230,10.572589
17 Apr 2018 16:26:42.000,133382877.196869,63328579.884263,27452049.147512,-13.215992,24.383720,10.570640
17 Apr 2018 16:56:42.000,133359079.908922,63372466.519937,27471074.541859,-13.225439,24.379207,10.568690
17 Apr 2018 17:26:42.000,133335265.617385,63416345.029316,27490096.424408,-13.234885,24.374691,10.566738
17 Apr 2018 17:56:42.000,133311434.325986,63460215.406593,27509114.792638,-13.244328,24.370171,10.564785
17 Apr 2018 18:26:42.000,133287586.038463,63504077.645959,27528129.644027,-13.253769,24.365649,10.562831
17 Apr 2018 18:56:42.000,133263720.758558,63547931.741609,27547140.976057,-13.263208,24.361123,10.560875
17 Apr 2018 19:26:42.000,133239838.490013,63591777.687748,27566148.786210,-13.272646,24.356594,10.558918
17 Apr 2018 19:56:42.000,133215939.236580,63635615.478575,27585153.071968,-13.282081,24.352061,10.556959
17 Apr 2018 20:26:42.000,133192023.002009,63679445.108302,27604153.830815,-13.291513,24.347526,10.554999
17 Apr 2018 20:56:42.000,133168089.790061,63723266.571137,27623151.060237,-13.300944,24.342987,10.553037
17 Apr 2018 21:26:42.000,133144139.604498,63767079.861291,27642144.757719,-13.310373,24.338445,10.551075
17 Apr 2018 21:56:42.000,133120172.449085,63810884.972987,27661134.920750,-13.319800,24.333900,10.549110
17 Apr 2018 22:26:42.000,133096188.327595,63854681.900441,27680121.546818,-13.329224,24.329351,10.547145
17 Apr 2018 22:56:42.000,133072187.243805,63898470.637875,27699104.633412,-13.338647,24.324800,10.545178
